_id,MONTH,GEOGRAPHY,DURATION,AGE GROUP,Both sexes,Male,Female
1,Mar2001,"Total, Ontario regions",Total unemployed,"Total, 15 years and over",398.0,229.0,169.0
2,Mar2001,"Total, Ontario regions",Total unemployed, 15-64 years,395.8,228.0,167.9
3,Mar2001,"Total, Ontario regions",Total unemployed,  15-19,67.5,39.3,28.1
4,Mar2001,"Total, Ontario regions",Total unemployed,  20-24,53.9,36.2,17.7
5,Mar2001,"Total, Ontario regions",Total unemployed,  25-44,184.4,101.7,82.7
6,Mar2001,"Total, Ontario regions",Total unemployed,  45-54,62.6,35.5,27.1
7,Mar2001,"Total, Ontario regions",Total unemployed,  55-64,27.5,15.2,12.2
8,Mar2001,"Total, Ontario regions",Total unemployed,  65 years and over,2.2,0.0,0.0
9,Mar2001,"Total, Ontario regions",   1 - 4 weeks,"Total, 15 years and over",156.0,85.8,70.2
10,Mar2001,"Total, Ontario regions",   1 - 4 weeks, 15-64 years,155.0,85.4,69.6
11,Mar2001,"Total, Ontario regions",   1 - 4 weeks,  15-19,34.9,19.7,15.2
12,Mar2001,"Total, Ontario regions",   1 - 4 weeks,  20-24,27.2,17.2,10.0
13,Mar2001,"Total, Ontario regions",   1 - 4 weeks,  25-44,67.2,35.0,32.2
14,Mar2001,"Total, Ontario regions",   1 - 4 weeks,  45-54,16.9,8.4,8.5
15,Mar2001,"Total, Ontario regions",   1 - 4 weeks,  55-64,8.8,5.0,3.8
16,Mar2001,"Total, Ontario regions",   1 - 4 weeks,  65 years and over,0.0,0.0,0.0
17,Mar2001,"Total, Ontario regions",   5 - 13 weeks,"Total, 15 years and over",125.1,76.1,49.0
18,Mar2001,"Total, Ontario regions",   5 - 13 weeks, 15-64 years,124.8,76.1,48.8
19,Mar2001,"Total, Ontario regions",   5 - 13 weeks,  15-19,19.4,11.9,7.5
20,Mar2001,"Total, Ontario regions",   5 - 13 weeks,  20-24,16.8,12.7,4.1
21,Mar2001,"Total, Ontario regions",   5 - 13 weeks,  25-44,60.3,34.1,26.2
